gauge_id;slope_mean_noahmp;vcmx25_mean;mfsno_mean;cwpvt_mean
01022500;0.08864652;73.64303849;0.836577432;0.33137192
01031500;0.048476524;68.91613232;1.398059083;0.326117996
01047000;0.020853549;67.42716316;0.869006273;0.283949558
01052500;0.022912376;73.81488339;0.648410944;0.350061926
01054200;0.133316415;75.92778445;0.92196252;0.326095351
01055000;0.035667177;65.98420059;1.494716306;0.137566614
01057000;0.052835353;55.47645443;1.297572226;0.29940963
01073000;0.042957118;44.43743933;3.62961887;0.337544578
01078000;0.058933792;72.92739853;1.005673156;0.357557635
01123000;0.07161524;67.42848233;0.783891678;0.102111754
01134500;0.048933619;78.5453937;3.909055588;0.357435596
01137500;0.091208226;72.53321895;0.678947216;0.147321601
01139000;0.070737436;62.17265352;1.058093983;0.359058787
01139800;0.091659407;48.74616342;1.020280351;0.357486641
01142500;0.027347935;75.82881019;3.922722918;0.356608446
01144000;0.104401699;68.47433974;1.90649487;0.305686347
01162500;0.017673551;72.07415091;0.689206443;0.346718013
01169000;0.076651635;75.54679549;3.863761115;0.284449218
01170100;0.06705748;52.29545908;1.765195984;0.220741485
01181000;0.096354974;77.26776528;3.902776596;0.352839299
01187300;0.049828324;72.8036925;1.082741641;0.288200859
01195100;0.019200949;82.51307601;2;0.336424589
01333000;0.178413728;79.5547785;0.6363326;0.18531196
01350000;0.080518073;79.39532115;1.054635628;0.359816018
01350080;0.063899586;74.63862085;3.947595188;0.357186504
01350140;0.026612262;55.23228783;3.9823306;0.35733228
01365000;0.105406409;52.07295077;3.842051627;0.351563078
01411300;0.379410133;70.12375584;2;0.136554831
01413500;0.313037519;70.4814775;2.904326164;0.336182291
01414500;0.091342986;81.68088057;1.755128923;0.359180132
01415000;0.137376089;73.16312262;0.61450764;0.344775343
01423000;0.112487555;69.42741748;1.92294814;0.341628004
01434025;0.079252901;60.61061642;1.132383495;0.35457941
01435000;0.0638984;63.49128962;1.367043541;0.351951227
01439500;0.338322564;46.81561364;3.771457066;0.347881511
01440000;0.027931881;38.44433293;3.821034545;0.343729049
01440400;0.02359915;72.30809531;0.969688074;0.353868543
01451800;0.075265122;74.45829953;3.852097037;0.327550587
01466500;0.058086001;68.25541431;0.810364059;0.227584608
01484100;0.047383009;97.86889586;2;0.3012796
01487000;0.069201733;61.69699004;2;0.130580618
01491000;0.023252978;64.23363476;2.001134089;0.216518929
01510000;0.114026577;67.42515533;3.737669959;0.356522152
01516500;0.082439494;46.99584007;1.22663053;0.111954905
01518862;0.020291563;77.35681194;0.681789867;0.241115319
